player,team_name,opponent_team,opp_lb_run_def_grade_w,lb_count,jamal_run_grade,delta_rb_minus_oppLB
Jamal Haynes,Georgia Tech,OREGON ST,70.82268907563025,4,,
Jamal Haynes,Georgia Tech,PENN STATE,72.58844953173778,4,,
Jamal Haynes,Georgia Tech,PITTSBURGH,86.30666204024982,5,,
Jamal Haynes,Georgia Tech,PURDUE,59.93499061913696,3,,
Jamal Haynes,Georgia Tech,RICE,66.96556359875905,3,,
Jamal Haynes,Georgia Tech,RUTGERS,62.063697705802966,3,,
Jamal Haynes,Georgia Tech,S ALABAMA,69.76084396467125,4,,
Jamal Haynes,Georgia Tech,S CAROLINA,70.17636566332219,3,,
Jamal Haynes,Georgia Tech,S DIEGO ST,77.22793733681463,4,,
Jamal Haynes,Georgia Tech,S JOSE ST,71.73819334389857,3,,
Jamal Haynes,Georgia Tech,SM HOUSTON,70.37120582120583,4,,
Jamal Haynes,Georgia Tech,SMU,68.77008159564822,5,,
Jamal Haynes,Georgia Tech,SO MISS,75.117834960071,5,,
Jamal Haynes,Georgia Tech,STANFORD,64.52230070635721,5,,
Jamal Haynes,Georgia Tech,SYRACUSE,68.3909978308026,5,,
Jamal Haynes,Georgia Tech,TCU,79.32211253701875,3,,
Jamal Haynes,Georgia Tech,TEMPLE,68.42845528455285,6,,
Jamal Haynes,Georgia Tech,TENNESSEE,71.51371980676328,5,,
Jamal Haynes,Georgia Tech,TEXAS,81.79373493975903,3,,
Jamal Haynes,Georgia Tech,TEXAS A&M,71.5729262672811,4,,
Jamal Haynes,Georgia Tech,TEXAS ST,75.97459677419356,5,,
Jamal Haynes,Georgia Tech,TEXAS TECH,88.4080701754386,3,,
Jamal Haynes,Georgia Tech,TOLEDO,73.87850779510022,4,,
Jamal Haynes,Georgia Tech,TROY,67.44233654876741,4,,
Jamal Haynes,Georgia Tech,TULANE,57.376023391812865,4,,
Jamal Haynes,Georgia Tech,TULSA,75.44528487229863,3,,
Jamal Haynes,Georgia Tech,UAB,70.66712598425197,5,,
Jamal Haynes,Georgia Tech,UCF,67.10736514522821,4,,
Jamal Haynes,Georgia Tech,UCLA,73.24029126213593,4,,
Jamal Haynes,Georgia Tech,UCONN,80.09704049844237,4,,
Jamal Haynes,Georgia Tech,UMASS,70.90705630791162,5,,
Jamal Haynes,Georgia Tech,UNLV,67.61041465766634,6,,
Jamal Haynes,Georgia Tech,USC,57.65530546623794,4,,
Jamal Haynes,Georgia Tech,USF,70.36657276995305,4,,
Jamal Haynes,Georgia Tech,UTAH,76.83787878787878,4,,
Jamal Haynes,Georgia Tech,UTAH ST,72.64671682626539,4,,
Jamal Haynes,Georgia Tech,UTEP,74.28878205128206,4,,
Jamal Haynes,Georgia Tech,UTSA,72.16596758817923,5,,
Jamal Haynes,Georgia Tech,VA TECH,65.96359499431172,6,,
Jamal Haynes,Georgia Tech,VANDERBILT,71.62181603773585,5,,
Jamal Haynes,Georgia Tech,VIRGINIA,62.00675526024363,5,,
Jamal Haynes,Georgia Tech,W KENTUCKY,62.212647374062165,5,,
Jamal Haynes,Georgia Tech,W MICHIGAN,73.63841309823678,4,,
Jamal Haynes,Georgia Tech,W VIRGINIA,63.51620512820513,5,,
Jamal Haynes,Georgia Tech,WAKE,70.42397790055249,4,,
Jamal Haynes,Georgia Tech,WASH STATE,61.12428571428572,4,,
Jamal Haynes,Georgia Tech,WASHINGTON,66.51196172248804,4,,
Jamal Haynes,Georgia Tech,WISCONSIN,72.91233373639662,4,,
Jamal Haynes,Georgia Tech,WYOMING,75.81419110690635,4,,
