gt_team,opponent,type,player,player_position,player_run_block_grade,opp_ed_run_defense_grade,opp_ed_name,opp_ed_snaps,delta
GA TECH,PITTSBURGH,vs_ed_rank_2,Malachi Carney,OT,68.9,56.2,Isaiah Neal,252.0,12.7
GA TECH,PITTSBURGH,vs_ed_rank_3,Malachi Carney,OT,68.9,80.5,Blaine Spires,153.0,-11.6
GA TECH,PITTSBURGH,vs_ed_rank_4,Malachi Carney,OT,68.9,65.5,Joey Zelinsky,113.0,3.4
GA TECH,PITTSBURGH,vs_ed_rank_5,Malachi Carney,OT,68.9,63.4,Nate Temple,103.0,5.5
GA TECH,PITTSBURGH,vs_ed_rank_6,Malachi Carney,OT,68.9,75.0,Zach Crothers,95.0,-6.1
GA TECH,SYRACUSE,vs_defense_avg,Ethan Mackenny,OT,65.9,65.69,,,0.21
GA TECH,SYRACUSE,vs_ed_rank_1,Ethan Mackenny,OT,65.9,68.4,David Reese,351.0,-2.5
GA TECH,SYRACUSE,vs_ed_rank_2,Ethan Mackenny,OT,65.9,57.1,Denis Jaquez Jr.,277.0,8.8
GA TECH,SYRACUSE,vs_ed_rank_3,Ethan Mackenny,OT,65.9,71.6,David Omopariola,173.0,-5.7
GA TECH,SYRACUSE,vs_ed_rank_4,Ethan Mackenny,OT,65.9,68.0,Jamie Tremble,129.0,-2.1
GA TECH,SYRACUSE,vs_ed_rank_5,Ethan Mackenny,OT,65.9,66.8,Chase Simmons,93.0,-0.9
GA TECH,SYRACUSE,vs_defense_avg,Malachi Carney,OT,68.9,65.69,,,3.21
GA TECH,SYRACUSE,vs_ed_rank_1,Malachi Carney,OT,68.9,68.4,David Reese,351.0,0.5
GA TECH,SYRACUSE,vs_ed_rank_2,Malachi Carney,OT,68.9,57.1,Denis Jaquez Jr.,277.0,11.8
GA TECH,SYRACUSE,vs_ed_rank_3,Malachi Carney,OT,68.9,71.6,David Omopariola,173.0,-2.7
GA TECH,SYRACUSE,vs_ed_rank_4,Malachi Carney,OT,68.9,68.0,Jamie Tremble,129.0,0.9
GA TECH,SYRACUSE,vs_ed_rank_5,Malachi Carney,OT,68.9,66.8,Chase Simmons,93.0,2.1
