gt_team,opponent,row_type,player,player_run_grade,player_receiving_grade,opp_lb_run_avg,opp_lb_cov_avg,opp_lb_run_grade,opp_lb_cov_grade,delta_run_minus_lb_run,delta_recv_minus_lb_cov,overall_delta,opp_lb_name,opp_lb_snaps
GA TECH,SYRACUSE,vs_lb_rank_2,Jamal Haynes,73.1,,,,84.3,70.3,-11.2,,-11.2,Antoine Deslauriers,278
GA TECH,SYRACUSE,vs_lb_rank_3,Jamal Haynes,73.1,,,,55.3,66.7,17.8,,17.8,Anwar Sparrow,159
GA TECH,SYRACUSE,vs_lb_rank_4,Jamal Haynes,73.1,,,,51.2,46.8,21.9,,21.9,Derek McDonald,90
GA TECH,SYRACUSE,vs_lb_rank_5,Jamal Haynes,73.1,,,,51.6,62.7,21.5,,21.5,James Heard,67
GA TECH,SYRACUSE,vs_lb_room_avg,Malachi Hosley,82.3,,68.39,60.39,,,13.91,,13.91,,
GA TECH,SYRACUSE,vs_lb_rank_1,Malachi Hosley,82.3,,,,69.4,52.2,12.9,,12.9,Gary Bryant III,328
GA TECH,SYRACUSE,vs_lb_rank_2,Malachi Hosley,82.3,,,,84.3,70.3,-2,,-2,Antoine Deslauriers,278
GA TECH,SYRACUSE,vs_lb_rank_3,Malachi Hosley,82.3,,,,55.3,66.7,27,,27,Anwar Sparrow,159
GA TECH,SYRACUSE,vs_lb_rank_4,Malachi Hosley,82.3,,,,51.2,46.8,31.1,,31.1,Derek McDonald,90
GA TECH,SYRACUSE,vs_lb_rank_5,Malachi Hosley,82.3,,,,51.6,62.7,30.7,,30.7,James Heard,67
