gt_team,opponent,type,player,player_position,player_pass_grade,opp_lb_run_grade,opp_lb_name,opp_lb_snaps,delta_pass_vs_run
GA TECH,GEORGIA,vs_lb_rank_2,Josh Beetham,TE,76.9,65.4,Raylen Wilson,289.0,11.5
GA TECH,GEORGIA,vs_lb_rank_3,Josh Beetham,TE,76.9,64.2,Chris Cole,206.0,12.7
GA TECH,GEORGIA,vs_lb_rank_4,Josh Beetham,TE,76.9,83.0,Justin Williams,122.0,-6.1
GA TECH,GEORGIA,vs_lb_rank_5,Josh Beetham,TE,76.9,76.6,Terrell Foster,57.0,0.3
GA TECH,GEORGIA,vs_defense_avg,J.T. Byrne,TE,54.2,76.4,,,-22.2
GA TECH,GEORGIA,vs_lb_rank_1,J.T. Byrne,TE,54.2,91.6,CJ Allen,321.0,-37.4
GA TECH,GEORGIA,vs_lb_rank_2,J.T. Byrne,TE,54.2,65.4,Raylen Wilson,289.0,-11.2
GA TECH,GEORGIA,vs_lb_rank_3,J.T. Byrne,TE,54.2,64.2,Chris Cole,206.0,-10.0
GA TECH,GEORGIA,vs_lb_rank_4,J.T. Byrne,TE,54.2,83.0,Justin Williams,122.0,-28.8
GA TECH,GEORGIA,vs_lb_rank_5,J.T. Byrne,TE,54.2,76.6,Terrell Foster,57.0,-22.4
GA TECH,PITTSBURGH,vs_defense_avg,Luke Harpring,TE,70.4,86.31,,,-15.91
GA TECH,PITTSBURGH,vs_lb_rank_1,Luke Harpring,TE,70.4,91.1,Braylan Lovelace,455.0,-20.7
GA TECH,PITTSBURGH,vs_lb_rank_2,Luke Harpring,TE,70.4,77.9,Kyle Louis,395.0,-7.5
GA TECH,PITTSBURGH,vs_lb_rank_3,Luke Harpring,TE,70.4,90.2,Rasheem Biles,388.0,-19.8
GA TECH,PITTSBURGH,vs_lb_rank_4,Luke Harpring,TE,70.4,90.5,Cameron Lindsey,106.0,-20.1
GA TECH,PITTSBURGH,vs_lb_rank_5,Luke Harpring,TE,70.4,77.9,Nick Lapi,97.0,-7.5
GA TECH,PITTSBURGH,vs_defense_avg,Brett Seither,TE,50.4,86.31,,,-35.91
GA TECH,PITTSBURGH,vs_lb_rank_1,Brett Seither,TE,50.4,91.1,Braylan Lovelace,455.0,-40.7
GA TECH,PITTSBURGH,vs_lb_rank_2,Brett Seither,TE,50.4,77.9,Kyle Louis,395.0,-27.5
GA TECH,PITTSBURGH,vs_lb_rank_3,Brett Seither,TE,50.4,90.2,Rasheem Biles,388.0,-39.8
GA TECH,PITTSBURGH,vs_lb_rank_4,Brett Seither,TE,50.4,90.5,Cameron Lindsey,106.0,-40.1
