gt_team,opponent,type,player,player_position,player_pass_grade,opp_lb_coverage_grade,opp_lb_name,opp_lb_snaps,delta_pass_coverage
GA TECH,GEORGIA,vs_lb_rank_2,Josh Beetham,TE,76.9,62.6,Raylen Wilson,289.0,14.3
GA TECH,GEORGIA,vs_lb_rank_3,Josh Beetham,TE,76.9,74.7,Chris Cole,206.0,2.2
GA TECH,GEORGIA,vs_lb_rank_4,Josh Beetham,TE,76.9,67.7,Justin Williams,122.0,9.2
GA TECH,GEORGIA,vs_lb_rank_5,Josh Beetham,TE,76.9,64.4,Terrell Foster,57.0,12.5
GA TECH,GEORGIA,vs_defense_avg,J.T. Byrne,TE,54.2,64.67,,,-10.47
GA TECH,GEORGIA,vs_lb_rank_1,J.T. Byrne,TE,54.2,59.0,CJ Allen,321.0,-4.8
GA TECH,GEORGIA,vs_lb_rank_2,J.T. Byrne,TE,54.2,62.6,Raylen Wilson,289.0,-8.4
GA TECH,GEORGIA,vs_lb_rank_3,J.T. Byrne,TE,54.2,74.7,Chris Cole,206.0,-20.5
GA TECH,GEORGIA,vs_lb_rank_4,J.T. Byrne,TE,54.2,67.7,Justin Williams,122.0,-13.5
GA TECH,GEORGIA,vs_lb_rank_5,J.T. Byrne,TE,54.2,64.4,Terrell Foster,57.0,-10.2
GA TECH,PITTSBURGH,vs_defense_avg,Luke Harpring,TE,70.4,66.58,,,3.82
GA TECH,PITTSBURGH,vs_lb_rank_1,Luke Harpring,TE,70.4,57.8,Braylan Lovelace,455.0,12.6
GA TECH,PITTSBURGH,vs_lb_rank_2,Luke Harpring,TE,70.4,79.2,Kyle Louis,395.0,-8.8
GA TECH,PITTSBURGH,vs_lb_rank_3,Luke Harpring,TE,70.4,63.6,Rasheem Biles,388.0,6.8
GA TECH,PITTSBURGH,vs_lb_rank_4,Luke Harpring,TE,70.4,66.8,Cameron Lindsey,106.0,3.6
GA TECH,PITTSBURGH,vs_lb_rank_5,Luke Harpring,TE,70.4,68.0,Nick Lapi,97.0,2.4
GA TECH,PITTSBURGH,vs_defense_avg,Brett Seither,TE,50.4,66.58,,,-16.18
GA TECH,PITTSBURGH,vs_lb_rank_1,Brett Seither,TE,50.4,57.8,Braylan Lovelace,455.0,-7.4
GA TECH,PITTSBURGH,vs_lb_rank_2,Brett Seither,TE,50.4,79.2,Kyle Louis,395.0,-28.8
GA TECH,PITTSBURGH,vs_lb_rank_3,Brett Seither,TE,50.4,63.6,Rasheem Biles,388.0,-13.2
GA TECH,PITTSBURGH,vs_lb_rank_4,Brett Seither,TE,50.4,66.8,Cameron Lindsey,106.0,-16.4
GA TECH,PITTSBURGH,vs_lb_rank_5,Brett Seither,TE,50.4,68.0,Nick Lapi,97.0,-17.6
GA TECH,PITTSBURGH,vs_defense_avg,Josh Beetham,TE,76.9,66.58,,,10.32
GA TECH,PITTSBURGH,vs_lb_rank_1,Josh Beetham,TE,76.9,57.8,Braylan Lovelace,455.0,19.1
GA TECH,PITTSBURGH,vs_lb_rank_2,Josh Beetham,TE,76.9,79.2,Kyle Louis,395.0,-2.3
GA TECH,PITTSBURGH,vs_lb_rank_3,Josh Beetham,TE,76.9,63.6,Rasheem Biles,388.0,13.3
GA TECH,PITTSBURGH,vs_lb_rank_4,Josh Beetham,TE,76.9,66.8,Cameron Lindsey,106.0,10.1
GA TECH,PITTSBURGH,vs_lb_rank_5,Josh Beetham,TE,76.9,68.0,Nick Lapi,97.0,8.9
GA TECH,PITTSBURGH,vs_defense_avg,J.T. Byrne,TE,54.2,66.58,,,-12.38
GA TECH,PITTSBURGH,vs_lb_rank_1,J.T. Byrne,TE,54.2,57.8,Braylan Lovelace,455.0,-3.6
